Date,Applications,Visitors
17/04/2015,0,0.00
18/04/2015,0,2.00
19/04/2015,0,4.00
20/04/2015,3,10.00
21/04/2015,1,15.00
22/04/2015,0,2.00
23/04/2015,0,0.00
24/04/2015,0,0.00
25/04/2015,0,4.00
26/04/2015,0,1.00
27/04/2015,0,2.00
28/04/2015,0,1.00
29/04/2015,0,2.00
30/04/2015,0,0.00
01/05/2015,0,0.00
02/05/2015,0,4.00
03/05/2015,0,2.00
04/05/2015,0,1.00
05/05/2015,0,2.00
06/05/2015,0,2.00
07/05/2015,0,1.00
08/05/2015,0,0.00
09/05/2015,0,1.00
10/05/2015,0,2.00
11/05/2015,0,3.00
12/05/2015,0,4.00
13/05/2015,0,1.00
14/05/2015,0,0.00
15/05/2015,0,0.00
16/05/2015,0,4.00
17/05/2015,0,4.00
18/05/2015,0,4.00
19/05/2015,0,1.00
20/05/2015,0,8.00
21/05/2015,0,2.00
22/05/2015,0,1.00
23/05/2015,0,64.00
24/05/2015,0,2.00
25/05/2015,0,8.00
26/05/2015,1,17.00
27/05/2015,0,2.00
28/05/2015,0,0.00
29/05/2015,0,0.00
30/05/2015,2,13.00
31/05/2015,0,2.00
01/06/2015,0,0.00
02/06/2015,0,1.00
03/06/2015,0,10.00
04/06/2015,0,0.00
05/06/2015,0,0.00
06/06/2015,0,11.00
07/06/2015,1,11.00
08/06/2015,0,4.00
09/06/2015,0,21.00
